VIOLATION.CODE,CLASSIFICATION
02A,Temperature
02B,Temperature
02C,Temperature
02D,Temperature
02E,Temperature
02F,Temperature
02G,Temperature
02H,Temperature
02I,Temperature
03A,Food hygene
03B,Food hygene
03C,Food hygene
03D,Food hygene
03E,Food hygene
03G,Food hygene
04A,Administrative
04B,Food hygene
04C,Food hygene
04D,Food hygene
04E,Food hygene
04F,Food hygene
04G,Food hygene
04H,Food hygene
04I,Food hygene
04J,Temperature
04K,Insects/vermin
04L,Insects/vermin
04M,Insects/vermin
04N,Insects/vermin
04O,Inadequate facility conditions
05A,Inadequate facility conditions
05B,Inadequate facility conditions
05C,Inadequate facility conditions
05D,Inadequate facility conditions
05E,Inadequate facility conditions
05F,Temperature
05H,Inadequate facility conditions
05I,Temperature
06A,Inadequate facility conditions
06B,Inadequate facility conditions
06C,Food hygene
06D,Inadequate facility conditions
06E,Inadequate facility conditions
06F,Inadequate facility conditions
06G,Administrative
06H,Administrative
06I,Administrative
07A,Administrative
08A,Insects/vermin
08B,Inadequate facility conditions
08C,Inadequate facility conditions
09A,Food hygene
09B,Temperature
09C,Inadequate facility conditions
10A,Inadequate facility conditions
10B,Inadequate facility conditions
10C,Inadequate facility conditions
10D,Inadequate facility conditions
10E,Inadequate facility conditions
10F,Inadequate facility conditions
10G,Inadequate facility conditions
10H,Inadequate facility conditions
10I,Inadequate facility conditions
10J,Administrative
15E,Administrative
15I,Administrative
15J,Inadequate facility conditions
15K,Administrative
15L,Administrative
15S,Administrative
15T,Administrative
16A,Administrative
16B,Administrative
16C,Administrative
16E,Administrative
16F,Administrative
18A,Administrative
18B,Administrative
18C,Administrative
18D,Administrative
18F,Administrative
18G,Administrative
20A,Administrative
20B,Administrative
20D,Administrative
20E,Administrative
20F,Administrative
22A,Administrative
22B,Inadequate facility conditions
22C,Inadequate facility conditions
22E,Administrative
